iter	Passed	Remaining
693	1361	600
694	1363	598
695	1364	595
696	1373	597
697	1375	595
698	1377	593
699	1378	590
700	1404	599
701	1407	597
702	1409	595
703	1410	593
704	1412	591
705	1413	588
706	1414	586
707	1420	585
708	1426	585
709	1427	583
710	1428	580
711	1430	578
712	1431	576
713	1438	576
714	1443	575
715	1444	573
716	1446	570
717	1447	568
718	1455	568
719	1458	567
720	1460	565
721	1461	562
722	1462	560
723	1464	558
724	1471	558
725	1472	555
726	1480	556
727	1489	556
728	1491	554
729	1492	552
730	1494	549
731	1495	547
732	1496	545
733	1504	545
734	1506	543
735	1508	540
736	1509	538
737	1510	536
738	1512	534
739	1513	531
740	1524	532
741	1527	531
742	1529	528
743	1537	529
744	1539	526
745	1540	524
746	1542	522
747	1543	519
748	1544	517
749	1551	517
750	1553	515
751	1555	512
752	1556	510
753	1557	508
754	1559	505
755	1560	503
756	1569	503
757	1570	501
758	1571	499
759	1573	496
760	1574	494
761	1575	492
762	1577	489
763	1585	489
764	1587	487
765	1588	485
766	1590	483
767	1592	480
768	1593	478
769	1596	477
770	1598	474
771	1599	472
772	1601	470
773	1603	468
774	1604	465
775	1606	463
776	1608	461
777	1610	459
778	1612	457
779	1621	457
780	1628	456
781	1636	456
782	1639	454
783	1641	452
784	1643	450
785	1645	447
786	1646	445
787	1657	445
788	1658	443
789	1659	441
790	1661	438
791	1662	436
792	1671	436
793	1672	434
794	1674	431
795	1675	429
796	1676	427
797	1678	424
798	1679	422
799	1681	420
800	1682	418
801	1684	415
802	1685	413
803	1686	411
804	1688	408
805	1697	408
806	1698	406
807	1699	403
808	1701	401
809	1702	399
810	1704	397
811	1711	396
812	1713	394
813	1714	391
814	1715	389
815	1717	387
816	1718	385
817	1719	382
818	1728	382
819	1730	379
820	1731	377
821	1732	375
822	1734	373
823	1735	370
824	1737	368
825	1745	367
826	1746	365
827	1747	363
828	1749	360
829	1750	358
830	1751	356
831	1758	355
832	1761	353
833	1763	350
834	1764	348
835	1765	346
836	1766	344
837	1768	341
838	1774	340
839	1777	338
840	1778	336
841	1779	333
842	1781	331
843	1782	329
844	1783	327
845	1790	325
846	1793	323
847	1794	321
848	1795	319
849	1796	317
850	1798	314
851	1800	312
852	1805	311
853	1810	309
854	1811	307
855	1812	304
856	1814	302
857	1815	300
858	1816	298
859	1825	297
860	1826	294
861	1828	292
862	1829	290
863	1830	288
864	1832	285
865	1833	283
866	1842	282
867	1843	280
868	1844	278
869	1846	275
870	1847	273
871	1848	271
872	1856	270
873	1858	267
874	1859	265
875	1860	263
876	1862	261
877	1863	258
878	1864	256
879	1865	254
880	1867	252
881	1869	250
882	1870	247
883	1871	245
884	1873	243
885	1874	241
886	1882	239
887	1884	237
888	1885	235
889	1886	233
890	1888	231
891	1899	229
892	1901	227
893	1903	225
894	1904	223
895	1913	222
896	1915	219
897	1916	217
898	1918	215
899	1919	213
900	1920	211
901	1929	209
902	1931	207
903	1932	205
904	1934	203
905	1935	200
906	1937	198
907	1943	196
908	1946	194
909	1947	192
910	1949	190
911	1950	188
912	1951	185
913	1953	183
914	1961	182
915	1963	180
916	1964	177
917	1966	175
918	1967	173
919	1969	171
920	1976	169
921	1979	167
922	1981	165
923	1982	163
924	1983	160
925	1985	158
926	1986	156
927	1988	154
928	1990	152
929	1991	149
930	1992	147
931	1994	145
932	1995	143
933	1997	141
934	2004	139
935	2006	137
936	2007	134
937	2009	132
938	2010	130
939	2011	128
940	2013	126
941	2021	124
942	2023	122
943	2024	120
944	2025	117
945	2027	115
946	2029	113
947	2038	111
948	2040	109
949	2042	107
950	2043	105
951	2044	103
952	2046	100
953	2055	99
954	2056	96
955	2058	94
956	2059	92
957	2060	90
958	2062	88
959	2064	86
960	2067	83
961	2068	81
962	2071	79
963	2073	77
964	2075	75
965	2076	73
966	2078	70
967	2080	68
968	2081	66
969	2083	64
970	2084	62
971	2085	60
972	2088	57
973	2089	55
974	2091	53
975	2093	51
976	2095	49
977	2096	47
978	2098	45
979	2099	42
980	2101	40
981	2102	38
982	2104	36
983	2105	34
984	2107	32
985	2109	29
986	2110	27
987	2112	25
988	2114	23
989	2115	21
990	2117	19
991	2119	17
992	2120	14
993	2122	12
994	2123	10
995	2125	8
996	2126	6
997	2128	4
998	2132	2
999	2133	0
